weight,ablation,rho,K,cand_set,z_ip,z_lp,gamma
pop,High,0.0,50,511,1844268.226488111,1844268.2264881139,1.5149465157607575e-15
pop,High,0.0,75,511,1844268.226488111,1844268.2264881139,1.5149465157607575e-15
pop,High,0.0,100,511,1844268.226488111,1844268.2264881139,1.5149465157607575e-15
pop,High,0.0,150,511,1844268.226488111,1844268.2264881139,1.5149465157607575e-15
pop,High,0.0,300,511,1844268.226488111,1844268.2264881139,1.5149465157607575e-15
pop,High,0.0,605,511,1844268.226488111,1844268.2264881139,1.5149465157607575e-15
pop,High,0.2,1,511,984169.9009410393,984169.9009410386,-7.097269793495289e-16
pop,High,0.2,5,511,1715026.5193861043,1715026.5193861048,2.715184179626699e-16
pop,High,0.2,10,511,1804036.2914648133,1804036.2914648158,1.4196704868464778e-15
pop,High,0.2,20,511,1836563.845412132,1836601.1152370793,2.0293236764043464e-05
pop,High,0.2,30,511,1841078.6797595795,1841119.3763766906,2.2104768013723595e-05
pop,High,0.2,50,511,1842283.8897167786,1842283.8897167812,1.390196752242294e-15
pop,High,0.2,75,511,1842283.8897167786,1842283.8897167812,1.390196752242294e-15
pop,High,0.2,100,511,1842283.8897167786,1842283.8897167812,1.390196752242294e-15
pop,High,0.2,150,511,1842283.8897167786,1842283.8897167812,1.390196752242294e-15
pop,High,0.2,300,511,1842283.8897167786,1842283.8897167812,1.390196752242294e-15
pop,High,0.2,605,511,1842283.8897167786,1842283.8897167812,1.390196752242294e-15
pop,High,0.5,1,511,326483.02558373543,326483.02558373386,-4.813747489180073e-15
pop,High,0.5,5,511,1078931.1022248627,1080372.9725368605,0.0013363877536059084
pop,High,0.5,10,511,1476258.8672194008,1476900.80623426,0.0004348417673306751
pop,High,0.5,20,511,1704120.1275804797,1704120.1275804807,5.465122790009975e-16
pop,High,0.5,30,511,1753814.99299064,1753814.9929906412,6.637833653618225e-16
pop,High,0.5,50,511,1796611.0772072729,1796615.3372293888,2.3711431872699004e-06
pop,High,0.5,75,511,1809705.5941698782,1809705.5941698814,1.8011929794853643e-15
pop,High,0.5,100,511,1813250.1984701934,1813250.1984701965,1.6692668061219353e-15
pop,High,0.5,150,511,1813493.2975442533,1813493.297544256,1.5406551144301963e-15
pop,High,0.5,300,511,1813493.2975442533,1813493.297544256,1.5406551144301963e-15
pop,High,0.5,605,511,1813493.2975442533,1813493.297544256,1.5406551144301963e-15
pop,High,0.8,1,511,1979.8633289939878,1979.8633289939878,0.0
pop,High,0.8,5,511,8460.835439301962,8460.835439301962,0.0
pop,High,0.8,10,511,15054.586186503591,15054.586186503593,1.2082626390465499e-16
pop,High,0.8,20,511,24861.42247983072,24861.422479830744,1.02431193027276e-15
pop,High,0.8,30,511,33288.294925324764,33288.29492532477,2.1857405524991577e-16
pop,High,0.8,50,511,46727.052817921816,46727.05281792179,-6.228475519340082e-16
pop,High,0.8,75,511,57574.467327134094,57574.46732713408,-2.5274945481794714e-16
pop,High,0.8,100,511,65108.81941238363,65108.81941238363,0.0
pop,High,0.8,150,511,74135.66668840186,74135.6666884019,5.888629270522264e-16
pop,High,0.8,300,511,79400.62373527364,79400.62373527374,1.2829043627942593e-15
pop,High,0.8,605,511,79400.62373527364,79400.62373527374,1.2829043627942593e-15
pop,Medium,0.0,1,511,1317463.2530572915,1317463.2530572927,8.836324015624924e-16
